gocam pipeline run
Process:  AMPAR-endo2
Started:  2026-03-09 14:16:41
Deep mode: True

[2026-03-09 14:16:41] START  extract-all
[2026-03-09 14:16:44] OK     extract-all

[2026-03-09 14:16:44] START  report
[2026-03-09 14:17:01] OK     report

[2026-03-09 14:17:01] START  extract-all --deep
[2026-03-09 14:17:01] OK     extract-all --deep

[2026-03-09 14:17:01] START  report (post-deep)
[2026-03-09 14:17:12] OK     report (post-deep)

[2026-03-09 14:17:12] START  translate
[2026-03-09 14:18:24] OK     translate

[2026-03-09 14:18:24] START  verify
[2026-03-09 14:18:29] OK     verify

[2026-03-09 14:18:29] START  narrative
[2026-03-09 14:18:33] OK     narrative

[2026-03-09 14:18:33] DONE   7/7 steps succeeded
