gocam pipeline run
Process:  AMPAR-endocytosis
Started:  2026-03-07 12:15:38
Deep mode: True

[2026-03-07 12:15:38] START  extract-all
[2026-03-07 12:15:42] OK     extract-all

[2026-03-07 12:15:42] START  report
[2026-03-07 12:15:49] OK     report

[2026-03-07 12:15:49] START  extract-all --deep
[2026-03-07 12:16:43] OK     extract-all --deep

[2026-03-07 12:16:43] START  report (post-deep)
[2026-03-07 12:16:50] OK     report (post-deep)

[2026-03-07 12:16:50] START  translate
[2026-03-07 12:16:58] OK     translate

[2026-03-07 12:16:58] START  verify
[2026-03-07 12:17:03] OK     verify

[2026-03-07 12:17:03] START  narrative
[2026-03-07 12:17:05] OK     narrative

[2026-03-07 12:17:05] DONE   7/7 steps succeeded
